HCPCS_Cd,underpaid_rows,total_estimated_recovery,avg_gap_pct,avg_confidence,critical_or_high_count
64447,8193,3042466.91,-12.24,0.4021,13
95886,1662,3041580.04,-32.85,0.5201,0
17261,2771,3013356.09,-20.79,0.5753,2
88348,271,2966448.53,-76.04,0.4031,22
63685,790,2964827.88,-51.56,0.3969,11
29826,2291,2916519.02,-35.75,0.7884,7
33208,2618,2890269.73,-8.19,0.3719,0
G0181,1575,2827630.43,-9.17,0.3967,8
97016,4544,2793413.68,-27.81,0.6472,0
67042,475,2786300.96,-19.76,0.2405,25
93296,4646,2779867.66,-8.65,0.5253,0
93321,6791,2765459.09,-58.27,0.5123,0
93294,6954,2760634.5,-5.6,0.5108,0
27446,272,2748018.32,-39.96,0.4245,91
11300,1614,2747071.61,-35.07,0.711,9
98942,2468,2723409.43,-5.98,0.27,2
78226,734,2721714.41,-83.38,0.9698,27
99441,7741,2683827.91,-14.99,0.5104,3
28285,542,2668110.68,-39.64,0.5787,3
33418,298,2607603.61,-23.96,0.4415,25
35301,523,2600731.61,-26.06,0.3898,23
67036,521,2596144.26,-24.81,0.2821,9
G0444,19821,2593558.0,-11.28,0.3548,0
11302,1465,2561943.36,-18.49,0.5661,14
95955,230,2552161.67,-60.97,0.909,64
63052,1272,2547239.34,-38.44,0.4565,16
60500,408,2509420.53,-20.24,0.2847,13
91110,315,2503975.22,-73.93,0.575,27
88185,457,2497390.6,-7.15,0.4468,23
27487,296,2494712.31,-31.08,0.3344,89
93892,310,2475907.89,-35.74,0.1953,4
11306,1258,2465842.95,-22.23,0.5951,17
66174,327,2443487.43,-28.7,0.3327,10
11622,840,2440652.43,-46.26,0.6709,2
95800,775,2428027.91,-54.83,0.4873,7
26480,294,2426711.77,-54.94,0.6635,27
52332,3323,2422000.0,-18.97,0.5036,1
64635,1141,2401457.16,-14.24,0.1731,0
96132,3321,2396226.94,-6.71,0.2151,1
76706,2344,2375203.71,-61.97,0.8197,1
14040,818,2367240.11,-11.9,0.2828,7
36466,258,2364660.43,-10.4,0.3642,10
92557,8829,2362984.38,-6.1,0.1519,0
72132,1399,2332632.39,-54.16,0.9818,7
25447,594,2327975.66,-26.55,0.3795,30
29848,865,2322964.52,-13.67,0.5175,5
36245,212,2312568.31,-44.84,0.4283,22
64708,146,2310629.15,-40.96,0.2076,2
43248,1885,2263806.37,-18.58,0.5549,3
93350,1544,2253099.26,-45.69,0.7065,3
94010,3665,2247691.14,-54.54,0.4394,0
90966,1548,2247519.43,-5.54,0.1018,0
11900,5087,2246648.69,-24.33,0.6164,3
64615,1713,2246572.65,-12.5,0.2646,1
49083,3534,2240512.32,-10.89,0.4701,5
G0402,10961,2227538.12,-7.77,0.1569,0
72195,1172,2223095.71,-50.75,0.7784,11
67108,371,2211297.33,-23.4,0.2535,12
73080,7332,2208753.56,-60.98,0.9734,0
77263,4142,2201600.37,-5.43,0.2154,0
72050,4011,2198507.49,-60.74,0.8608,2
76942,8025,2175476.99,-25.92,0.9129,0
36226,634,2163352.27,-32.67,0.5069,3
64636,1346,2151965.44,-17.26,0.2832,6
97124,730,2146329.2,-21.55,0.8182,38
70547,955,2141231.82,-62.26,0.9335,3
92083,1677,2126514.01,-34.28,0.4797,0
20553,3639,2119513.84,-15.63,0.4439,6
95251,5952,2114925.66,-9.13,0.3465,0
11057,2047,2100879.8,-8.51,0.4059,6
99304,3691,2088471.29,-10.54,0.4302,3
11719,2306,2082166.65,-25.38,0.4653,1
77373,388,2070650.57,-6.45,0.1526,0
43274,986,2043072.71,-13.74,0.3453,0
96133,2055,2028639.42,-6.07,0.2395,0
99491,1261,2013180.62,-11.4,0.4143,2
93455,250,2011857.45,-68.78,0.6595,12
73060,6140,2011438.96,-64.26,0.9859,2
57425,363,2001798.56,-25.73,0.2309,21
97750,2844,2000614.62,-19.12,0.4787,3
62321,3263,2000612.51,-8.16,0.1873,0
11311,1252,1991908.6,-19.4,0.5717,11
76775,4499,1982350.42,-32.5,0.8386,0
99292,3820,1968303.97,-7.95,0.3779,0
11045,2093,1956666.45,-15.13,0.541,3
76376,5568,1932704.37,-41.94,0.9696,0
23395,75,1931327.59,-64.39,0.5475,35
20600,5072,1923342.47,-14.25,0.5912,5
45384,581,1920762.76,-26.91,0.4851,19
36478,348,1913430.36,-8.94,0.3948,12
33518,895,1903265.69,-33.09,0.4122,0
74019,4960,1901111.59,-55.28,0.9461,5
22600,257,1857798.65,-37.38,0.3454,29
43450,1188,1854655.43,-51.82,0.7618,1
22552,471,1849515.76,-37.85,0.5068,8
15275,917,1844370.13,-20.79,0.4735,6
90935,4962,1828786.75,-6.13,0.3812,0
75571,1118,1826048.62,-58.91,0.8316,9
43281,233,1820747.33,-30.81,0.2606,21
11750,3157,1816035.2,-11.76,0.5754,0
32663,292,1786346.26,-26.68,0.4536,26
70549,560,1785169.89,-63.86,0.9136,11
76776,1037,1781334.4,-65.45,0.9376,6
74220,2019,1768326.66,-58.64,0.9204,0
99493,364,1760707.12,-13.15,0.3556,2
76377,2930,1755379.82,-27.02,0.8475,6
11305,874,1747446.39,-26.48,0.5943,10
88331,3793,1737032.91,-14.2,0.8154,0
72129,952,1730507.22,-54.32,0.9856,6
95870,265,1730295.38,-66.32,0.6832,36
97164,7324,1725523.38,-6.72,0.1892,0
95812,304,1716668.88,-75.24,0.7816,22
47135,52,1714477.45,-41.85,0.2263,12
32555,3820,1703187.71,-9.36,0.3957,0
G0101,11927,1701468.71,-9.4,0.2447,0
15260,903,1698948.66,-6.96,0.176,0
43282,195,1692400.59,-25.83,0.2449,24
88346,519,1687746.66,-64.19,0.7297,7
14041,773,1680585.11,-7.83,0.2027,2
99152,18350,1661633.28,-7.81,0.2977,0
19081,1425,1659963.57,-13.64,0.4972,7
17111,2146,1650591.41,-12.42,0.5652,3
22514,323,1647799.53,-7.52,0.4434,3
11730,3093,1642360.09,-9.07,0.5382,5
78315,462,1638973.28,-78.04,0.9683,14
37224,358,1633359.58,-27.36,0.4318,8
78580,612,1612493.29,-77.42,0.9751,10
17272,1410,1603335.02,-15.56,0.5287,5
97533,194,1598903.64,-20.77,0.3884,11
96367,3497,1594893.98,-7.33,0.6798,5
96574,1088,1582147.86,-11.39,0.1066,0
99347,3191,1574691.7,-11.01,0.5455,2
63045,149,1565802.43,-54.25,0.4221,7
36471,596,1559311.07,-18.22,0.2993,3
65820,548,1552931.12,-6.93,0.2549,2
95861,375,1552299.99,-28.22,0.709,32
63056,68,1538607.09,-50.06,0.3064,14
88364,632,1520222.75,-63.29,0.8034,6
